NoStrat,KEY,dataset,fire_year,sample_year,sample_gap_yr,FIRE,plotname,PLOT,ValueFrom,RdNBR,RdNBR_BL,dNBR,dNBR_BL,dNBR_Offset,dNBR_Offset_BL,RBR,RBR_BL,preNBR,lon,lat,elev,slope,aspect,HeatLoad,MaxTreeHeight,QMD_LAF,QMD_all,FIRESEV,FIRESEVCODE,FIRESEVNUM,CHARHT,CHARHT_percMax,BOLESCORCH,LITTDUFFMM,SOILCHARMM,CHARCOV,LiveVegCov,Firemort.BA.p,Firemort.trees.p,over1,over2,FieldClass,FieldClass2,under1,under2,ba_ha,stems_ha,RedGrayGreenStage.BA.p,OutbreakStage
All,215,BJH,2008,2010,2,newfork,31,215,Extraction,1254,1246,921,906,910,895,583,235,0.52632,-109.912,43.0908,2637,5,286,0.784949,22,14.94,15.13,crown,d,3,17.7,0.8,1,6.5,13.4,0.6,0.04,1,1,PICO,,3,3,,,22.61,1259,0,greenattack
All,216,BJH,2008,2010,2,newfork,32,216,Extraction,1092,1083,678,660,667,649,471,461,0.37374,-109.912,43.0897,2641,6,300,0.780581,24,18.89,19.67,crown,d,3,19.3,0.8,1,1.4,12.1,0.61,0.06,1,1,PICO,,3,3,,,24.93,821,0.2,greenattack
All,217,BJH,2008,2010,2,newfork,33,217,Extraction,1098,1130,738,766,727,755,491,351,0.4382,-109.91,43.0907,2653,7,276,0.813791,21.9,17.73,17.98,crown,d,3,20.2,0.92,1,1.8,12.7,0.63,0.13,1,1,PICO,,3,3,,,29.8,1174,0.08,greenattack
All,218,BJH,2008,2010,2,newfork,34,218,Extraction,317,505,198,331,187,320,123,98,0.34694,-109.91,43.0894,2651,3,149,0.756664,21.1,17.13,17.05,sevsurf,c,2,3.3,0.16,0.79,16,9.2,0.1,0.4,1,1,PICO,,3,3,,,33.91,1485,0.04,greenattack
All,219,BJH,2008,2010,2,newfork,35,219,Extraction,572,580,384,394,373,383,247,144,0.42466,-109.908,43.0908,2643,10,128,0.757745,23,17.95,17.95,sevsurf,c,2,4.2,0.18,0.92,22.1,6.2,0.1,0.25,1,1,PICO,,3,3,,,33.65,1330,0.01,greenattack
All,220,BJH,2008,2010,2,newfork,36,220,Extraction,1244,1219,841,818,830,807,560,130,0.44578,-109.906,43.0907,2663,9,279,0.832863,22.3,13.12,14.14,crown,d,3,19.2,0.86,1,0,15.7,0.81,0.02,1,1,PICO,,3,3,,,32.2,2051,0.27,greenattack
All,221,BJH,2008,2010,2,newfork,37,221,Extraction,576,716,362,472,351,461,240,509,0.37143,-109.904,43.091,2673,1,182,0.744748,21.9,14.39,15.5,sevsurf,c,2,6.5,0.3,0.95,10.9,9.1,0.09,0.09,1,1,PICO,,3,3,,,41.61,2207,0.01,greenattack
All,222,BJH,2008,2010,2,newfork,38,222,Extraction,628,744,452,536,441,525,282,208,0.49296,-109.908,43.0895,2631,5,142,0.764688,21.3,15.22,15.22,sevsurf,c,2,7.3,0.34,1,15.7,13.6,0.21,0.08,1,1,PICO,,3,3,,,34.49,1896,0,greenattack
All,223,BJH,2008,2010,2,newfork,39,223,Extraction,312,270,214,187,203,176,127,405,0.42222,-109.902,43.0908,2666,7,170,0.810659,22.5,17.37,17.18,lightsurf,b,1,2.7,0.12,0.78,23.1,5.8,0.1,0.22,1,0.99,PICO,,3,3,,,33.42,1443,0.02,greenattack
All,224,BJH,2008,2010,2,newfork,42,224,Extraction,248,269,163,173,152,162,95,175,0.375,-109.92,43.0834,2586,20,172,0.936353,22.9,8.5,8.56,lightsurf,b,1,1.7,0.07,0.52,27.6,1,0.1,0.27,0.76,0.79,PICO,,3,3,,,28.67,4980,0.02,greenattack
