fire_year,FIRE,plotname,PLOT,RdNBR,RdNBR_BL,dNBR,dNBR_BL,RBR,RBR_BL,pre_NBR,lat,slope,HeatLoad,MaxTreeHeight,QMD_LAF,QMD_all,FIRESEVNUM,CHARHT_percMax,BOLESCORCH,CHARCOV,Firemort.BA.p,Firemort.trees.p,ba_ha,stems_ha,RedGrayGreenStage.BA.p
2013,WestFork,WF60,455,635,623,358,363,281,277,0.36709,37.608,32,1.002258,,,,0,0,0,0,0,0,,,0.85
2013,WestFork,WF61,456,591,605,287,309,247,256,0.29546,37.605,20,1.010311,,,,0,0,0,0,0,0,,,0.84
2013,WestFork,WF62,457,-55,-46,-26,-15,-20,-17,0.2037,37.532,15,0.59014,,,,0,0,0,0,0,0,,,0.4
2013,WestFork,WF63,458,2,-41,77,56,0,-17,0.2459,37.542,60,0.198108,,,,0,0,0,0,0,0,,,0.3
2013,WestFork,WF64,459,-5,132,100,85,-2,55,0.25862,37.522,41,0.626401,,,,0,0,0,0,0,0,,,0.75
2013,WestFork,WF65,460,17,26,90,91,5,8,0.12,37.512,23,0.898674,,,,0,0,0,0,0,0,,,0.65
2013,WestFork,WF66,461,-16,7,82,102,-6,3,0.24561,37.508,26,1.067474,,,,0,0,0,0,0,0,,,0.65
2013,WestFork,WF67,462,81,46,111,99,33,19,0.28125,37.5,24,0.876374,,,,0,0,0,0,0,0,,,0.65
2013,WindyPass,WP16,463,93,92,11,15,41,42,0.35593,37.467,46,0.318866,,,,0,0,0,0,0,0,,,0.5
2013,WindyPass,WP17,464,488,557,249,288,215,245,0.36232,37.468,35,1.103725,,,,0,0,0,0,0,0,,,0.6
2013,WindyPass,WP18,465,635,611,357,336,286,274,0.4,37.458,28,1.080234,,,,0,0,0,0,0,0,,,0.6
2013,WindyPass,WP19,466,361,338,173,161,159,150,0.36364,37.442,21,1.025577,,,,0,0,0,0,0,0,,,0.11
2013,WindyPass,WP20,467,130,127,53,54,62,62,0.56303,37.428,36,0.728235,,,,0,0,0,0,0,0,,,0.05
2013,WindyPass,WP21,468,431,367,145,128,187,158,0.30509,37.446,42,0.658368,,,,0,0,0,0,0,0,,,0.2
2012,LittleSands,LS06,469,-35,-14,36,47,-14,,0.28846,37.455,25,0.942253,22,30.46948458,30.58106102,1,0.24,0.5475,0.1,0.361517737,0.576923077,73.4133015,1000,0.09
2012,LittleSands,LS07,470,259,151,219,150,117,68,0.39837,37.4576,9,0.769788,35,18.57722434,26.09783284,2,0.38,0.723076923,0.1,1,1,69.5059365,1300,0.201
2012,LittleSands,LS08,471,26,40,71,80,11,18,0.35537,37.4968,45,0.547202,30,22.83629489,24.55634355,1,0.09,0.553448276,0.3,0.507452774,0.352941176,68.6380695,1450,0.145
2012,LittleSands,LS09,472,149,149,148,150,66,67,0.38889,37.4936,40,0.341686,32,24.20724581,31.04221273,1,0.19,0.835897436,0.1,0.636524823,0.730769231,73.752987,975,0.225
2012,LittleSands,LS15,473,-91,-11,-5,48,-41,-5,0.43396,37.4637,40,0.329965,,23.43985663,25.71931631,1,0.18,0.758536585,0.2,0.519147341,0.676470588,53.2245945,1025,0.104
